fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
07. Apr;0.7;0;01. Sep;0.076;11;34;0.9978;Mrz 51;0.56;09. Apr;5
07. Aug;0.88;0;02. Jun;0.098;25;67;0.9968;03. Feb;0.68;09. Aug;5
07. Aug;0.76;0.04;02. Mrz;0.092;15;54;0.997;Mrz 26;0.65;09. Aug;5
11. Feb;0.28;0.56;01. Sep;0.075;17;60;0.998;Mrz 16;0.58;09. Aug;6
07. Apr;0.7;0;01. Sep;0.076;11;34;0.9978;Mrz 51;0.56;09. Apr;5
07. Apr;0.66;0;01. Aug;0.075;13;40;0.9978;Mrz 51;0.56;09. Apr;5
07. Sep;0.6;0.06;01. Jun;0.069;15;59;0.9964;03. Mrz;0.46;09. Apr;5
07. Mrz;0.65;0;01. Feb;0.065;15;21;0.9946;Mrz 39;0.47;10;7
07. Aug;0.58;0.02;2;0.073;9;18;0.9968;Mrz 36;0.57;09. Mai;7
07. Mai;0.5;0.36;06. Jan;0.071;17;102;0.9978;Mrz 35;0.8;10. Mai;5
06. Jul;0.58;0.08;01. Aug;0.097;15;65;0.9959;Mrz 28;0.54;09. Feb;5
07. Mai;0.5;0.36;06. Jan;0.071;17;102;0.9978;Mrz 35;0.8;10. Mai;5
05. Jun;0.615;0;01. Jun;0.089;16;59;0.9943;Mrz 58;0.52;09. Sep;5
07. Aug;0.61;0.29;01. Jun;0.114;9;29;0.9974;Mrz 26;Jan 56;09. Jan;5
08. Sep;0.62;0.18;03. Aug;0.176;52;145;0.9986;Mrz 16;0.88;09. Feb;5
08. Sep;0.62;0.19;03. Sep;0.17;51;148;0.9986;Mrz 17;0.93;09. Feb;5
08. Mai;0.28;0.56;01. Aug;0.092;35;103;0.9969;03. Mrz;0.75;10. Mai;7
08. Jan;0.56;0.28;01. Jul;0.368;16;56;0.9968;03. Nov;Jan 28;09. Mrz;5
07. Apr;0.59;0.08;04. Apr;0.086;6;29;0.9974;Mrz 38;0.5;9;4
07. Sep;0.32;0.51;01. Aug;0.341;17;56;0.9969;03. Apr;01. Aug;09. Feb;6
08. Sep;0.22;0.48;01. Aug;0.077;29;60;0.9968;Mrz 39;0.53;09. Apr;6
07. Jun;0.39;0.31;02. Mrz;0.082;23;71;0.9982;Mrz 52;0.65;09. Jul;5
07. Sep;0.43;0.21;01. Jun;0.106;10;37;0.9966;Mrz 17;0.91;09. Mai;5
08. Mai;0.49;0.11;02. Mrz;0.084;9;67;0.9968;Mrz 17;0.53;09. Apr;5
06. Sep;0.4;0.14;02. Apr;0.085;21;40;0.9968;Mrz 43;0.63;09. Jul;6
06. Mrz;0.39;0.16;01. Apr;0.08;11;23;0.9955;Mrz 34;0.56;09. Mrz;5
07. Jun;0.41;0.24;01. Aug;0.08;4;11;0.9962;Mrz 28;0.59;09. Mai;5
07. Sep;0.43;0.21;01. Jun;0.106;10;37;0.9966;Mrz 17;0.91;09. Mai;5
07. Jan;0.71;0;01. Sep;0.08;14;35;0.9972;Mrz 47;0.55;09. Apr;5
07. Aug;0.645;0;2;0.082;8;16;0.9964;Mrz 38;0.59;09. Aug;6
06. Jul;0.675;0.07;02. Apr;0.089;17;82;0.9958;Mrz 35;0.54;10. Jan;5
06. Sep;0.685;0;02. Mai;0.105;22;37;0.9966;Mrz 46;0.57;10. Jun;6
08. Mrz;0.655;0.12;02. Mrz;0.083;15;113;0.9966;Mrz 17;0.66;09. Aug;5
06. Sep;0.605;0.12;10. Jul;0.073;40;83;0.9993;Mrz 45;0.52;09. Apr;6
05. Feb;0.32;0.25;01. Aug;0.103;13;50;0.9957;Mrz 38;0.55;09. Feb;5
07. Aug;0.645;0;05. Mai;0.086;5;18;0.9986;03. Apr;0.55;09. Jun;6
07. Aug;0.6;0.14;02. Apr;0.086;3;15;0.9975;Mrz 42;0.6;10. Aug;6
08. Jan;0.38;0.28;02. Jan;0.066;13;30;0.9968;Mrz 23;0.73;09. Jul;7
05. Jul;Jan 13;0.09;01. Mai;0.172;7;19;0.994;03. Mai;0.48;09. Aug;4
07. Mrz;0.45;0.36;05. Sep;0.074;12;87;0.9978;Mrz 33;0.83;10. Mai;5
07. Mrz;0.45;0.36;05. Sep;0.074;12;87;0.9978;Mrz 33;0.83;10. Mai;5
08. Aug;0.61;0.3;02. Aug;0.088;17;46;0.9976;Mrz 26;0.51;09. Mrz;4
07. Mai;0.49;0.2;02. Jun;0.332;8;14;0.9968;Mrz 21;0.9;10. Mai;6
08. Jan;0.66;0.22;02. Feb;0.069;9;23;0.9968;03. Mrz;01. Feb;10. Mrz;5
06. Aug;0.67;0.02;01. Aug;0.05;5;11;0.9962;Mrz 48;0.52;09. Mai;5
04. Jun;0.52;0.15;02. Jan;0.054;8;65;0.9934;03. Sep;0.56;13. Jan;4
07. Jul;0.935;0.43;02. Feb;0.114;22;114;0.997;Mrz 25;0.73;09. Feb;5
08. Jul;0.29;0.52;01. Jun;0.113;12;37;0.9969;Mrz 25;0.58;09. Mai;5
06. Apr;0.4;0.23;01. Jun;0.066;5;12;0.9958;Mrz 34;0.56;09. Feb;5
05. Jun;0.31;0.37;01. Apr;0.074;12;96;0.9954;Mrz 32;0.58;09. Feb;5
08. Aug;0.66;0.26;01. Jul;0.074;4;23;0.9971;Mrz 15;0.74;09. Feb;5
06. Jun;0.52;0.04;02. Feb;0.069;8;15;0.9956;03. Apr;0.63;09. Apr;6
06. Jun;0.5;0.04;02. Jan;0.068;6;14;0.9955;Mrz 39;0.64;09. Apr;6
08. Jun;0.38;0.36;3;0.081;30;119;0.997;03. Feb;0.56;09. Apr;5
07. Jun;0.51;0.15;02. Aug;0.11;33;73;0.9955;Mrz 17;0.63;10. Feb;6
07. Jul;0.62;0.04;03. Aug;0.084;25;45;0.9978;Mrz 34;0.53;09. Mai;5
10. Feb;0.42;0.57;03. Apr;0.07;4;10;0.9971;03. Apr;0.63;09. Jun;5
07. Mai;0.63;0.12;05. Jan;0.111;50;110;0.9983;Mrz 26;0.77;09. Apr;5
07. Aug;0.59;0.18;02. Mrz;0.076;17;54;0.9975;Mrz 43;0.59;10;5
07. Mrz;0.39;0.31;02. Apr;0.074;9;46;0.9962;Mrz 41;0.54;09. Apr;6
08. Aug;0.4;0.4;02. Feb;0.079;19;52;0.998;Mrz 44;0.64;09. Feb;5
07. Jul;0.69;0.49;01. Aug;0.115;20;112;0.9968;Mrz 21;0.71;09. Mrz;5
07. Mai;0.52;0.16;01. Sep;0.085;12;35;0.9968;Mrz 38;0.62;09. Mai;7
7;0.735;0.05;2;0.081;13;54;0.9966;Mrz 39;0.57;09. Aug;5
07. Feb;0.725;0.05;Apr 65;0.086;4;11;0.9962;Mrz 41;0.39;10. Sep;5
07. Feb;0.725;0.05;Apr 65;0.086;4;11;0.9962;Mrz 41;0.39;10. Sep;5
07. Mai;0.52;0.11;01. Mai;0.079;11;39;0.9968;Mrz 42;0.58;09. Jun;5
06. Jun;0.705;0.07;01. Jun;0.076;6;15;0.9962;Mrz 44;0.58;10. Jul;5
09. Mrz;0.32;0.57;2;0.074;27;65;0.9969;Mrz 28;0.79;10. Jul;5
8;0.705;0.05;01. Sep;0.074;8;19;0.9962;Mrz 34;0.95;10. Mai;6
07. Jul;0.63;0.08;01. Sep;0.076;15;27;0.9967;Mrz 32;0.54;09. Mai;6
07. Jul;0.67;0.23;02. Jan;0.088;17;96;0.9962;Mrz 32;0.48;09. Mai;5
07. Jul;0.69;0.22;01. Sep;0.084;18;94;0.9961;Mrz 31;0.48;09. Mai;5
08. Mrz;0.675;0.26;02. Jan;0.084;11;43;0.9976;Mrz 31;0.53;09. Feb;4
09. Jul;0.32;0.54;02. Mai;0.094;28;83;0.9984;Mrz 28;0.82;09. Jun;5
08. Aug;0.41;0.64;02. Feb;0.093;9;42;0.9986;Mrz 54;0.66;10. Mai;5
08. Aug;0.41;0.64;02. Feb;0.093;9;42;0.9986;Mrz 54;0.66;10. Mai;5
06. Aug;0.785;0;02. Apr;0.104;14;30;0.9966;Mrz 52;0.55;10. Jul;6
06. Jul;0.75;0.12;2;0.086;12;80;0.9958;Mrz 38;0.52;10. Jan;5
08. Mrz;0.625;0.2;01. Mai;0.08;27;119;0.9972;Mrz 16;01. Dez;09. Jan;4
06. Feb;0.45;0.2;01. Jun;0.069;3;15;0.9958;Mrz 41;0.56;09. Feb;5
07. Aug;0.43;0.7;01. Sep;0.464;22;67;0.9974;Mrz 13;Jan 28;09. Apr;5
07. Apr;0.5;0.47;2;0.086;21;73;0.997;Mrz 36;0.57;09. Jan;5
07. Mrz;0.67;0.26;01. Aug;0.401;16;51;0.9969;Mrz 16;Jan 14;09. Apr;5
06. Mrz;0.3;0.48;01. Aug;0.069;18;61;0.9959;Mrz 44;0.78;10. Mrz;6
06. Sep;0.55;0.15;02. Feb;0.076;19;40;0.9961;Mrz 41;0.59;10. Jan;5
08. Jun;0.49;0.28;01. Sep;0.11;20;136;0.9972;Feb 93;Jan 95;09. Sep;6
07. Jul;0.49;0.26;01. Sep;0.062;9;31;0.9966;Mrz 39;0.64;09. Jun;5
